"Timestamp","How many PAM conferences have you attended, including this one?","In which timezone are you?","From where are you participating in PAM?","Please rate your professional seniority","Have you attended a remote conference before?","Would you have attended PAM as on-site conference in Oregon?","Do you intend to use the conference Slack/Zoom as virtual hallway track?","In which sessions do you plan to participate?","Do you think you would attend more sessions if you would have attended PAM as on-site venue?","Importance of presenting my work to this community [Importance of presenting my work to this community]","Importance of presenting my work to this community [Importance of following paper/poster presentations]","Importance of presenting my work to this community [Importance of interacting with other researchers I already know]","Importance of presenting my work to this community [Importance of meeting new researchers]","Importance of presenting my work to this community [Importance of visiting the city/country in which the conference is held]","Importance of presenting my work to this community [Importance of presenting my work to this community]","Importance of presenting my work to this community [Importance of following paper/poster presentations]","Importance of presenting my work to this community [Importance of interacting with other researchers I already know]","Importance of presenting my work to this community [Importance of meeting new researchers]","Do you have other feedback / wishes / comments that you would like to share?"
"2020/03/30 2:53:12 am EET","1","(GMT -8:00) Pacific Time (US & Canada)","Home","Industry","No, this is my first remote conference","Yes, I would have physically attended PAM in Oregon","Maybe","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 12:50-13:10 Poster session I;Monday, 14:00-15:30 Session 2: Active Measurement;Monday, 16:00-17:30 Session 3: Topology and routing;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 11:00-12:00 Session 5: Best practices and conformance;Tuesday, 12:30-13:05 Poster Session II;Tuesday, 13:30-14:30 Session 6: Topology: Alias Resolution;Tuesday, 15:00-17:00 Session 7: Web (with break)","No","Slightly","Very","Moderate","Very","Slightly","Slightly","Very","Slightly","Very","Thank you for the on-line version"
"2020/03/30 2:56:10 am EET","1","(GMT -8:00) Pacific Time (US & Canada)","Home","PhD student","No, this is my first remote conference","Yes, I would have physically attended PAM in Oregon","Yes","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 14:00-15:30 Session 2: Active Measurement;Tuesday, 12:30-13:05 Poster Session II","Yes, I would have attended more","Extremely","Very","Moderate","Very","Slightly","Extremely","Very","Moderate","Very",""
"2020/03/30 3:14:03 am EET","1","(GMT -4:00) Atlantic Time (Canada), Caracas, La Paz","Home","PhD student","No, this is my first remote conference","Yes, I would have physically attended PAM in Oregon","Yes","Tuesday, 09:00-10:30 Session 4: Domain names","No","Very","Moderate","Extremely","Extremely","Moderate","Extremely","Very","Extremely","Extremely",""
"2020/03/30 3:25:31 am EET","1","(GMT +8:00) Beijing, Perth, Singapore, Hong Kong","Home","PhD student","No, this is my first remote conference","No, I am only attending because of the remote participation and would not have come to Oregon","Yes","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Tuesday, 15:00-17:00 Session 7: Web (with break)","No","Extremely","Very","Extremely","Extremely","Extremely","Extremely","Very","Very","Very",""
"2020/03/30 6:02:12 am EET","2","(GMT -8:00) Pacific Time (US & Canada)","Home","PhD student","No, this is my first remote conference","Yes, I would have physically attended PAM in Oregon","Yes","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 14:00-15:30 Session 2: Active Measurement;Monday, 16:00-17:30 Session 3: Topology and routing;Tuesday, 13:30-14:30 Session 6: Topology: Alias Resolution","Yes, I would have attended more","Extremely","Extremely","Extremely","Extremely","Very","Extremely","Extremely","Very","Very",""
"2020/03/30 6:14:23 am EET",">6","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","Industry","Yes","No, I am only attending because of the remote participation and would not have come to Oregon","Yes","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 12:50-13:10 Poster session I;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 11:00-12:00 Session 5: Best practices and conformance;Tuesday, 12:30-13:05 Poster Session II","Yes, I would have attended more","Not at all","Very","Extremely","Extremely","Not at all","Not at all","Extremely","Moderate","Slightly",""
"2020/03/30 7:12:38 am EET","1","(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Home","PhD student","No, this is my first remote conference","Yes, I would have physically attended PAM in Oregon","Yes","Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 14:00-15:30 Session 2: Active Measurement;Monday, 16:00-17:30 Session 3: Topology and routing;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 13:30-14:30 Session 6: Topology: Alias Resolution","Yes, I would have attended more","Extremely","Slightly","Very","Very","Not at all","Extremely","Slightly","Slightly","Moderate","I think in an online format, doing 10-15 min videos + 15 min questions would have allowed for more interaction with the community than the 25 min talk + 5 min questions, given that post-talk corridor talk will be more difficult."
"2020/03/30 9:04:18 am EET","1","(GMT -8:00) Pacific Time (US & Canada)","Home","PhD student","No, this is my first remote conference","No, I am only attending because of the remote participation and would not have come to Oregon","Yes","Monday, 11:00-12:30 Session 1: Security;Monday, 14:00-15:30 Session 2: Active Measurement","Yes, I would have attended more","Very","Very","Very","Very","Very","Very","Very","Very","Very",""
"2020/03/30 10:47:14 am EET","1","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","Industry","No, this is my first remote conference","Yes, I would have physically attended PAM in Oregon","Maybe","Tuesday, 09:00-10:30 Session 4: Domain names","Yes, I would have attended more","Very","Moderate","Extremely","Extremely","Very","Very","Very","Extremely","Extremely","Thanks for your effort in making this a remote conference!"
"2020/03/30 10:58:36 am EET","1","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","Faculty","No, this is my first remote conference","Yes, I would have physically attended PAM in Oregon","Yes","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 12:50-13:10 Poster session I;Monday, 14:00-15:30 Session 2: Active Measurement;Monday, 16:00-17:30 Session 3: Topology and routing;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 11:00-12:00 Session 5: Best practices and conformance;Tuesday, 12:30-13:05 Poster Session II;Tuesday, 13:30-14:30 Session 6: Topology: Alias Resolution;Tuesday, 15:00-17:00 Session 7: Web (with break)","No","Very","Very","Extremely","Extremely","Moderate","Very","Very","Extremely","Very",""
"2020/03/30 11:25:49 am EET","3","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","Postdoc","No, this is my first remote conference","Yes, I would have physically attended PAM in Oregon","Maybe","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 12:50-13:10 Poster session I;Monday, 14:00-15:30 Session 2: Active Measurement;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 11:00-12:00 Session 5: Best practices and conformance;Tuesday, 12:30-13:05 Poster Session II","Yes, I would have attended more","Very","Very","Extremely","Extremely","Very","Very","Very","Extremely","Extremely",""
"2020/03/30 2:24:50 pm EET","1","(GMT +3:00) Baghdad, Riyadh, Moscow, St. Petersburg","Home","Industry","Yes","No, I am only attending because of the remote participation and would not have come to Oregon","Yes","Monday, 11:00-12:30 Session 1: Security;Monday, 14:00-15:30 Session 2: Active Measurement;Tuesday, 09:00-10:30 Session 4: Domain names","Yes, I would have attended more","Slightly","Moderate","Moderate","Moderate","Moderate","Slightly","Moderate","Moderate","Moderate","The time difference makes attending the conference very hard, and limits my participation to the few sessions during which I can stay awake."
"2020/03/30 2:40:11 pm EET","1","(GMT +8:00) Beijing, Perth, Singapore, Hong Kong","Home","Undergrad / Master student","No, this is my first remote conference","No, I am only attending because of the remote participation and would not have come to Oregon","Yes","Monday, 11:00-12:30 Session 1: Security","Yes, I would have attended more","Very","Moderate","Moderate","Very","Slightly","Very","Very","Moderate","Moderate",""
"2020/03/30 4:05:32 pm EET","4-6","(GMT -8:00) Pacific Time (US & Canada)","Home","Industry","No, this is my first remote conference","Yes, I would have physically attended PAM in Oregon","Yes","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 14:00-15:30 Session 2: Active Measurement;Monday, 16:00-17:30 Session 3: Topology and routing;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 11:00-12:00 Session 5: Best practices and conformance;Tuesday, 13:30-14:30 Session 6: Topology: Alias Resolution;Tuesday, 15:00-17:00 Session 7: Web (with break)","Yes, I would have attended more","Extremely","Very","Extremely","Extremely","Very","Moderate","Very","Very","Very",""
"2020/03/30 4:27:21 pm EET","1","(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Home","Faculty","No, this is my first remote conference","Yes, I would have physically attended PAM in Oregon","Maybe","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 14:00-15:30 Session 2: Active Measurement;Monday, 16:00-17:30 Session 3: Topology and routing;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 11:00-12:00 Session 5: Best practices and conformance","No","Very","Moderate","Very","Very","Slightly","Very","Moderate","Slightly","Slightly","My opinions may change..."
"2020/03/30 5:06:30 pm EET","3","(GMT -8:00) Pacific Time (US & Canada)","Home","Industry","Yes","Yes, I would have physically attended PAM in Oregon","Yes","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 12:50-13:10 Poster session I;Monday, 14:00-15:30 Session 2: Active Measurement;Monday, 16:00-17:30 Session 3: Topology and routing;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 11:00-12:00 Session 5: Best practices and conformance;Tuesday, 12:30-13:05 Poster Session II;Tuesday, 13:30-14:30 Session 6: Topology: Alias Resolution;Tuesday, 15:00-17:00 Session 7: Web (with break)","No","Very","Very","Extremely","Extremely","Slightly","Very","Very","Very","Very",""
"2020/03/30 5:06:44 pm EET","1","(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Home","Government (research scientist)","No, this is my first remote conference","No, I am only attending because of the remote participation and would not have come to Oregon","Maybe","Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 16:00-17:30 Session 3: Topology and routing;Tuesday, 13:30-14:30 Session 6: Topology: Alias Resolution","No","Not at all","Moderate","Moderate","Slightly","Not at all","Not at all","Moderate","Moderate","Slightly",""
"2020/03/30 5:23:51 pm EET","1","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","PhD student","No, this is my first remote conference","No, I am only attending because of the remote participation and would not have come to Oregon","Maybe","Monday, 09:00-09:30 Introduction and Welcome;Monday, 11:00-12:30 Session 1: Security;Monday, 12:50-13:10 Poster session I;Monday, 14:00-15:30 Session 2: Active Measurement;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 12:30-13:05 Poster Session II","No","Extremely","Moderate","Slightly","Very","Not at all","Extremely","Moderate","Slightly","Slightly",""
"2020/03/30 5:45:34 pm EET","1","(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Home","Industry","Yes","No, I am only attending because of the remote participation and would not have come to Oregon","Maybe","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 14:00-15:30 Session 2: Active Measurement;Tuesday, 15:00-17:00 Session 7: Web (with break)","Yes, I would have attended more","Moderate","Very","Moderate","Slightly","Not at all","Slightly","Moderate","Slightly","Slightly",""
"2020/03/30 6:53:33 pm EET","1","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","PhD student","No, this is my first remote conference","No, I am only attending because of the remote participation and would not have come to Oregon","Maybe","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 12:50-13:10 Poster session I;Monday, 14:00-15:30 Session 2: Active Measurement;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 11:00-12:00 Session 5: Best practices and conformance","Yes, I would have attended more","Very","Very","Very","Extremely","Moderate","Very","Very","Very","Extremely",""
"2020/03/30 10:59:02 pm EET","1","(GMT -8:00) Pacific Time (US & Canada)","Home","Postdoc","No, this is my first remote conference","Yes, I would have physically attended PAM in Oregon","Yes","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 14:00-15:30 Session 2: Active Measurement;Monday, 16:00-17:30 Session 3: Topology and routing;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 11:00-12:00 Session 5: Best practices and conformance;Tuesday, 13:30-14:30 Session 6: Topology: Alias Resolution;Tuesday, 15:00-17:00 Session 7: Web (with break)","Yes, I would have attended more","Slightly","Slightly","Very","Very","Very","Slightly","Slightly","Slightly","Slightly",""
