"Timestamp","How many PAM conferences have you attended, including this one?","In which timezone are you?","From where did you participating in PAM?","Please rate your professional seniority","Have you attended a virtual conference before?","Would you have attended PAM as on-site conference in Oregon?","My overall experience of attending remotely PAM is [Overall experience]","Compared to attending on-site, attending remotely allowed me to better focus on the conference [I was more focused on the technical content]","Compared to attending on-site, attending remotely allowed me to better focus on the conference [I was more focused on social interactions]","My expectations on attending a virtual conference were met [To present my work]","My expectations on attending a virtual conference were met [To follow presentations]","My expectations on attending a virtual conference were met [To interact with speakers]","My expectations on attending a virtual conference were met [To interact with participants]","To speakers: My expectations on attending a virtual conference were met [To present my work]","Would you attend more conferences each year if they are offered online","What tools did you use to participate in the conference and how well did they work? [Zoom]","What tools did you use to participate in the conference and how well did they work? [Slack]","How do you rate the presentation sessions of this virtual conference compared to on-site conferences? [Ability to attend talks]","How do you rate the presentation sessions of this virtual conference compared to on-site conferences? [Ability to focus on the talks without distractions]","How do you rate the presentation sessions of this virtual conference compared to on-site conferences? [Ability to ask questions]","How do you rate the presentation sessions of this virtual conference compared to on-site conferences? [Ability to deeply discuss a topic openly with all participants]","Did you experience video or audio degradations in Zoom? [Audio impairments]","Did you experience video or audio degradations in Zoom? [Video impairments]","Which one of the following factors during the online presentations affected your interest or ability to follow the talk or remain engage [Having a video of the speaker in the corner of slides]","Which one of the following factors during the online presentations affected your interest or ability to follow the talk or remain engage [Presenter’s tone of speaking]","Which one of the following factors during the online presentations affected your interest or ability to follow the talk or remain engage [Changing of the audio across different segments of the presentation]","Pros/Cons of pre-recorded talks","(optional) Pros: What did you like about pre-recorded talks?","(optional) Cons: What did you not like about pre-recorded talks?","How many paper sessions did you skip due to time zone differences","Did you participate in technical discussions on Slack or Zoom?","How do you rate the interaction with others during this virtual conference compared to on-site conferences? [Ability to ask questions]","How do you rate the interaction with others during this virtual conference compared to on-site conferences? [Moderation of questions by the session chairs when posting to the Zoom chat]","How do you rate the interaction with others during this virtual conference compared to on-site conferences? [Ability for detailed technical discussions]","With how many participants did you interact in *private* chats? [Slack private chats]","With how many participants did you interact in *private* chats? [Zoom private chats]","(optional): Pros: Other feedback on *positive* aspects of the ability to interact during this virtual conference","(optional): Cons: Other feedback on *negative* aspects of the ability to interact during this virtual conference","Did you use Slack or the Zoom chat to interact with others about topics unrelated to the presentations?","How do you rate the quality of social interactions (unrelated to the presentations) during this virtual conference compared to classical on-site conferences? [Interactions with researchers I already know]","How do you rate the quality of social interactions (unrelated to the presentations) during this virtual conference compared to classical on-site conferences? [Interactions with new researchers I didn't know before]","(optional) What did you enjoy about social interaction at this virtual conference?","(optional) How can social interactions be improved at virtual conferences?","I would like to attend more virtual conferences in the future [I would like to attend more virtual conferences]","How many venues should be virtual in the future? [Future ideal share of virtual conferences]","How likely is it that you would recommend attending PAM as virtual conference to a colleague? [Would you recommend attending PAM remotely to a colleague?]","Pros: What worked well about attending remotely","Cons: What did not work well about attending remotely","Other comments / suggestions / feedback"
"2020/04/01 8:21:16 am EET","3","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","Faculty","Yes","Yes, I would have physically attended PAM in Oregon","good","Agree","Strongly Disagree (I got very distracted by other aspects)","Less than expected","Less than expected","Less than expected","Less than expected","","No","As expected","Did not use","much worse","stayed the same","somewhat better","much worse","Never","Never","neutral","distracting","distracting","Didn’t affect my interest/ability to follow the talk","","","6","Didn’t participate ","somewhat better","somewhat better","much worse","0 (I only followed what others posted)","1-5","","","No","Much worse","Much worse","Useless","","Strongly Disagree","0% (all in-person, please)","1","Technically everything was fine","Just like seeing videos on youtube...","Organizers did a super job. It’s just that remote conferences are not ... conferences"
"2020/04/01 9:14:43 am EET","1","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","PhD student","No, this is my first virtual conference","No, I am only attending because of the remote participation and would not have come to Oregon","good","Agree","Disagree","Less than expected","More than expected","As expected","Less than expected","As expected","Maybe","Better than expected","As expected","somewhat better","somewhat worse","somewhat worse","somewhat worse","Frequently","Rarely","distracting","distracting","neutral","Limited my interest/ability to follow the talk","","","0 (I followed every session)","Passively (I read what others posted)","stayed the same","stayed the same","somewhat worse","1-5","0 (I only followed what others posted)","","","Yes","Much worse","Much worse","","","Undecided","20%","5","No travel, affordable possibility to attend","No private/off topic conversations during the breaks, mainly focused on presentations",""
"2020/04/01 9:24:33 am EET","1","(GMT +8:00) Beijing, Perth, Singapore, Hong Kong","Home","Master student","No, this is my first virtual conference","No, I am only attending because of the remote participation and would not have come to Oregon","good","Agree","Disagree","As expected","As expected","As expected","Less than expected","As expected","Maybe","Better than expected","Better than expected","somewhat better","much better","somewhat better","stayed the same","Very Rarely","Never","neutral","neutral","neutral","Increased my interest/ability to follow the talk","","","5","Actively (I posted content to Slack or Zoom)","somewhat better","stayed the same","somewhat worse","0 (I only followed what others posted)","0 (I only followed what others posted)","","","No","Somewhat worse","Somewhat worse","","","Agree","70%","8","Great presentation and interaction with presenters.","Time zone difference makes me feel not so great",""
"2020/04/01 10:26:08 am EET","1","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","PhD student","No, this is my first virtual conference","Yes, I would have physically attended PAM in Oregon","excellent","Agree","Disagree","As expected","As expected","As expected","As expected","As expected","Yes","As expected","As expected","somewhat better","stayed the same","stayed the same","somewhat worse","Very Rarely","Very Rarely","useful","neutral","distracting","Didn’t affect my interest/ability to follow the talk","Choice of the presenter: less interactive, i.e., w/o video in a youtube-tutorial style, or highly interactive like a live presentation in front of an audience","Glued together A/V, i.e., every other slide changing Audio and/or Video conditions","2","Passively (I read what others posted)","stayed the same","somewhat better","somewhat better","1-5","1-5","","Not all attendees were registered in Slack, so interactions switched to other channels like twitter","No","Stayed the same","Somewhat worse","","","Agree","50%","8","Technical Setup, Session following, very structured, good organisation, Pre-recorded Talks were very helpful in limiting disruptions","Sometimes I got distracted while working from home, which can be fixed by attending from the office in the future. Social Interactions were very limited.","No travel time and costs, no negative climate impact, reduced registration fees - this could lead to more attendees if this format is established. win|win!"
"2020/04/01 10:39:24 am EET","2","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","PhD student","No, this is my first virtual conference","Yes, I would have physically attended PAM in Oregon","excellent","Undecided","Undecided","As expected","As expected","More than expected","As expected","More than expected","Yes","As expected","As expected","somewhat better","stayed the same","somewhat better","somewhat worse","Occasionally","Rarely","neutral","useful","neutral","Didn’t affect my interest/ability to follow the talk","there was little presentational quality loss due to nervousness! ","The quality of the recorded audio varied a lot. Sometimes it was harder/more energy demanding to listen to the prerecorded talk than it might have been during an in-person meeting.","3","Actively (I posted content to Slack or Zoom)","somewhat better","somewhat better","somewhat worse","5","1-5","slack facilitates getting into contact.","The conversation partner always knows that there is some agenda. There is limited room for ""random discussions in the lunch queue"". However, it's hard to emulate those during an online discussion.","Yes","Stayed the same","Stayed the same","","","Agree","50%","8","no travel cost (as in time and money)","the last talks were in the early morning hours in my time. I was lucky to get a slot with manageable time constraints for presenting. ","You did a great job! thanks for making this a success! "
"2020/04/01 2:00:48 pm EET","3","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","Postdoc","No, this is my first virtual conference","Yes, I would have physically attended PAM in Oregon","excellent","Undecided","Strongly Disagree (I got very distracted by other aspects)","As expected","As expected","As expected","Less than expected","As expected","Yes","As expected","As expected","somewhat worse","somewhat worse","somewhat better","somewhat better","Rarely","Frequently","useful","useful","distracting","Didn’t affect my interest/ability to follow the talk","Well done and all talks were very well timed.","Most of the pre-recorded talks were well done. Some, however, experienced bad audio quality (probably from using built-in Laptop mic instead of external headset).","3","Actively (I posted content to Slack or Zoom)","somewhat better","somewhat better","somewhat better","1-5","1-5","","","No","Stayed the same","Stayed the same","","Due to the virtual nature there was less social interaction.","Agree","30%","8","The video conferencing system worked quite well.","Timezone differences, lack of hallway discussions","Great work, organizers and chairs!"
"2020/04/01 3:53:45 pm EET","1","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","Faculty","No, this is my first virtual conference","Yes, I would have physically attended PAM in Oregon","excellent","Agree","Disagree","More than expected","More than expected","As expected","As expected","","Yes","Better than expected","Better than expected","somewhat worse","somewhat better","somewhat better","somewhat better","Never","Never","useful","useful","distracting","Significantly increased my interest/ability to follow the talk","","","0 (I followed every session)","Passively (I read what others posted)","somewhat better","much better","stayed the same","5","0 (I only followed what others posted)","","","No","Stayed the same","Somewhat worse","","","Strongly Agree","50%","10 Extremely likely to recommend","Great technical support, videos largely well done,","It will take some iteration before we get used and look for interaction with others","Remote participation should be enabled also for physical events"
"2020/04/01 6:04:54 pm EET","1","(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Home","Faculty","No, this is my first virtual conference","Yes, I would have physically attended PAM in Oregon","good","Undecided","Disagree","As expected","As expected","More than expected","As expected","","Maybe","Better than expected","Better than expected","stayed the same","stayed the same","somewhat better","somewhat better","Rarely","Rarely","neutral","neutral","neutral","Increased my interest/ability to follow the talk","It solves  potential technical problems, but as well allowed speakers to improve their presentation.","","1","Actively (I posted content to Slack or Zoom)","somewhat better","stayed the same","somewhat better","0 (I only followed what others posted)","1-5","","","No","Somewhat worse","Much worse","I hardly interacted. ","","Undecided","20%","5","Actual presentations and Q/A.","No effective social interaction, which I greatly miss. ",""
"2020/04/02 1:07:36 am EET","1","(GMT -8:00) Pacific Time (US & Canada)","Home","PhD student","No, this is my first virtual conference","No, I am only attending because of the remote participation and would not have come to Oregon","excellent","Agree","Undecided","As expected","As expected","As expected","As expected","","Maybe","As expected","As expected","somewhat worse","somewhat worse","stayed the same","somewhat worse","Very Rarely","Very Rarely","neutral","neutral","neutral","Didn’t affect my interest/ability to follow the talk","","","0 (I followed every session)","Passively (I read what others posted)","stayed the same","stayed the same","somewhat worse","1-5","1-5","","","No","Stayed the same","Somewhat worse","","","Agree","10%","8","Following the presentations","Trying not to do my own work",""
"2020/04/02 3:29:29 am EET","2","(GMT -8:00) Pacific Time (US & Canada)","Home","PhD student","No, this is my first virtual conference","Yes, I would have physically attended PAM in Oregon","good","Agree","Disagree","As expected","More than expected","As expected","Less than expected","As expected","Maybe","As expected","As expected","much better","much better","somewhat better","somewhat worse","Very Rarely","Very Rarely","useful","useful","neutral","Increased my interest/ability to follow the talk","","","0 (I followed every session)","Passively (I read what others posted)","somewhat worse","somewhat better","stayed the same","1-5","1-5","","","Yes","Somewhat worse","Somewhat worse","","","Agree","30%","5","Easy to fit to my schedule","Interaction with other researchers",""
"2020/04/02 3:48:15 am EET","4-6","(GMT -7:00) Mountain Time (US & Canada)","home office","Industry","Yes","Yes, I would have physically attended PAM in Oregon","good","Agree","Disagree","As expected","More than expected","Less than expected","Less than expected","","Maybe","As expected","As expected","stayed the same","stayed the same","somewhat better","somewhat worse","Occasionally","Rarely","neutral","useful","neutral","Didn’t affect my interest/ability to follow the talk","helped weak speakers a bit","that one robotic one was horrifying","0 (I followed every session)","Actively (I posted content to Slack or Zoom)","somewhat better","somewhat better","somewhat worse","1-5","0 (I only followed what others posted)","i am used to zoom and slack, so those were easy","the hallway!!!!!  :(","No","Much worse","Much worse","not much","i am not seeing any virtualized meetings being successful at this.  and that is bad.","Agree","40%","6","that we could do it at all","the hallway","my sympathies to the organizers.  it came off better than i hoped."
"2020/04/02 8:48:34 am EET","1","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","Industry","No, this is my first virtual conference","Yes, I would have physically attended PAM in Oregon","fair","Disagree","Agree","As expected","As expected","As expected","As expected","As expected","Maybe","As expected","Did not use","somewhat worse","stayed the same","somewhat worse","much worse","Never","Never","useful","useful","neutral","Didn’t affect my interest/ability to follow the talk","No connection issues.","It was my first time to present in front of a webcam. This was harder than expected. The problem with pre-recording is that there's less pressure and it's difficult to make a connection with the audience/ambiance.","7 (I skipped all sessions)","Passively (I read what others posted)","somewhat worse","stayed the same","somewhat worse","1-5","1-5","","Questions stay at a higher level. Difficult to meet people and explore collaborations.","No","Much worse","Much worse","","","Undecided","30%","3","You can watch videos on-demand. There no travel costs. Better for the environment.","Attending sessions was difficult to due time zone differences. However, another issue is that the regular work continues (and seems more important though it perhaps isn't). Being at a venue blocks your agenda and makes your focus on the conference. ","Thanks for your flexibility in changing the conference to a remote one. I can imagine this was very difficult for you. When this is all over, I hope to shake hands with you and have a drink in person. I planned a holiday to Oregon anyway. ;-)  Cheer, Thymen "
"2020/04/02 4:51:48 pm EET","1","(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Home","government scientist","No, this is my first virtual conference","No, I am only attending because of the remote participation and would not have come to Oregon","poor","Strongly Disagree (I got very distracted by other aspects)","Strongly Disagree (I got very distracted by other aspects)","As expected","Less than expected","As expected","Less than expected","As expected","No","As expected","Worse than expected","somewhat worse","somewhat worse","stayed the same","much worse","Occasionally","Occasionally","useful","distracting","neutral","Significantly limited my interest/ability to follow the talk","","Decreased ability to engage with speaker afterwards","4","Passively (I read what others posted)","somewhat worse","stayed the same","much worse","0 (I only followed what others posted)","0 (I only followed what others posted)","","","No","Much worse","Much worse","","","Disagree","10%","1","Convenient","Interaction with other participants",""
"2020/04/07 8:10:58 pm EET","1","(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Home","PhD student","No, this is my first virtual conference","Yes, I would have physically attended PAM in Oregon","excellent","Disagree","Disagree","More than expected","As expected","As expected","As expected","More than expected","Maybe","Worse than expected","Better than expected","somewhat better","somewhat worse","somewhat worse","somewhat worse","Very Rarely","Very Rarely","neutral","useful","neutral","Didn’t affect my interest/ability to follow the talk","I like it as a presenter. It allows me to achieve better quality, and do it again if I miss something.","Audio quality in some presentations was bad. Too much echo or volume too low for example.","2","Actively (I posted content to Slack or Zoom)","somewhat worse","stayed the same","stayed the same","1-5","1-5","","","Yes","Stayed the same","Somewhat worse","","","Disagree","20%","5","Flexibility, expense.","Encouragement for new researchers, discovery, socialization",""
"2020/04/07 8:34:09 pm EET","1","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","PhD student","No, this is my first virtual conference","Yes, I would have physically attended PAM in Oregon","good","Undecided","Undecided","As expected","As expected","Less than expected","Less than expected","As expected","Maybe","As expected","Did not use","somewhat worse","stayed the same","stayed the same","somewhat worse","Rarely","Rarely","neutral","neutral","neutral","Didn’t affect my interest/ability to follow the talk","","","6","Passively (I read what others posted)","stayed the same","stayed the same","stayed the same","0 (I only followed what others posted)","0 (I only followed what others posted)","","","No","Stayed the same","Stayed the same","","","Undecided","30%","5","Talks were well prepared","Timezone, my session was on 11 PM local",""
